id	origine	qualificatif	valeur	cible	commentaire
48	Altice	contrôle		Fonds de Dotation pour une Presse Indépendante	
3	ARD / ZDF	égal à	100.00%	Arte Deutschland TV GmbH	
20	Artémis	égal à	100.00%	Groupe Sebdo-Le Point	
55	Berlys Media	égal à	27.00%	Le Monde libre	
43	Bertelsmann	égal à	75.00%	RTL Group	
62	Bolloré	égal à	27.00%	Vivendi	
22	Bouygues	égal à	44.00%	Groupe TF1	
58	CMA CGM	égal à	100.00%	Groupe La Provence	
59	CMA CGM	égal à	100.00%	Hima Groupe	
60	CMA CGM	égal à	10.00%	Groupe M6	
18	Crédit Agricole	égal à	25.00%	Groupe Rossel La Voix	
9	Crédit Mutuel	égal à	100.00%	Groupe EBRA	
11	Éditions Suisses Holding	supérieur à	50.00%	Groupe Filanosa	
13	Fondation Varenne	supérieur à	50.00%	Groupe La Montagne	
53	Fonds pour l'indépendance de la presse	égal à	100.00%	NJJ	
61	Groupe EBRA	égal à	100.00%	Humanoïd	
35	Groupe La Dépêche	égal à	100.00%	Les Journaux du midi	
16	Groupe La Montagne	égal à	16.00%	Groupe NRCO	
49	Groupe Perdriel	égal à	100.00%	Les éditions Croque Futur	
19	Groupe Rossel	égal à	73.00%	Groupe Rossel La Voix	
27	Groupe Rossel La Voix	égal à	96.00%	La Voix du Nord SA	
40	Groupe Sud Ouest France	égal à	100.00%	Pyrénées Presse	
28	Lagardère SA	égal à	100.00%	Lagardère News	
32	Le Monde libre	égal à	72.50%	Groupe Le Monde	
5	Les Augustins de l’Assomption	égal à	100.00%	Bayard	
14	LVMH	égal à	100.00%	Groupe Les Échos - Le Parisien	
51	LVMH	égal à	40.00%	Groupe Perdriel	
56	NJJ	égal à	53.00%	Le Monde libre	
23	Privinvest	supérieur à	50.00%	Groupe Valmonde	
39	Province de Liège	égal à	54.00%	Publifin	
36	Publifin	égal à	100.00%	Nethys	
29	Qatar Investment Authority	égal à	12.83%	Lagardère SA	
17	Renault	égal à	0.00%	Groupe Perdriel	
2	République fédérale d’Allemagne	contrôle		ARD / ZDF	
42	République française	égal à	15.00%	Renault	
7	République française	contrôle		France Médias Monde	
8	République française	contrôle		France Télévision	
4	République française	contrôle		Arte France	
41	République française	contrôle		Radio France	
15	RTL Group	égal à	48.00%	Groupe M6	
50	Vivendi	égal à	100.00%	Groupe Canal+	
52	Vivendi	égal à	100.00%	Prisma Media	
54	Vivendi	égal à	63.00%	Lagardère SA	