nom	commentaire
Altice	
Altice Média	
ARD / ZDF	
Arte Deutschland TV GmbH	
Arte France	
Artémis	
Association Günter-Holzmann	
Bayard	
Berlys Media	
Bertelsmann	
Bolloré	
Bouygues	
CMA CGM	Nom de la filiale médias : Whynot media
Combat Solutions	Anciennement Les Nouvelles Éditions indépendantes
Crédit Agricole	
Crédit Mutuel	
Czech Media Invest	
Edi Invest	
Éditions Suisses Holding	
ESH Médias	Anciennement Rhône Médias  propriété de Hersant
Fiducial	
Fondation Varenne	
Fonds de Dotation pour une Presse Indépendante	Créé en 2020
Fonds pour l'indépendance de la presse	Créé en 2021
France Médias Monde	
France Télévision	
Ghosn Capital	
Groupe Cadjee	
Groupe Canal+	
Groupe Dassault	
Groupe EBRA	
Groupe Filanosa	
Groupe Hersant Média	Liquidé en 2020
Groupe Jeandot	
Groupe L’Opinion	
Groupe La Dépêche	
Groupe La Montagne	
Groupe La Provence	
Groupe Le Monde	Le Monde SA
Groupe Les Échos - Le Parisien	
Groupe M6	
Groupe NRCO	
Groupe Perdriel	
Groupe Rossel	
Groupe Rossel La Voix	
Groupe Sebdo-Le Point	
Groupe Sud Ouest France	
Groupe Télégramme	
Groupe TF1	
Groupe Valmonde	
Hima Groupe	
Humanoïd	
La Voix du Nord SA	
Lagardère News	Anciennement Lagardère Active (2000-19)
Lagardère SA	Anciennement Lagardère SCA
Lampsane Investissement SA	
Le Monde libre	
Les Amis du Monde diplomatique	
Les Augustins de l’Assomption	
Les éditions Croque Futur	Anciennement Sophia Publications
Les Journaux du midi	
LVMH	
Nethys	
NJJ	NJJ Presse
NRJ Group	
Prisma Media	
Privinvest	
Province de Liège	
Publifin	
Pyrénées Presse	
Qatar Investment Authority	
Radio France	
Renault	
République fédérale d’Allemagne	
République française	
RTL Group	
Sofiouest	
Vivendi	