Nom	rangChallenges2024	milliardaireForbes2024	rangChallenges2023	milliardaireForbes2023	rangChallenges2022	milliardaireForbes2022	rangChallenges2021	milliardaireForbes2021
Abdoul Cadjee								
Akram Safa	91							
Alain Weill	301		156					
Ariane de Rothschild	26		27		26		27	
Arnaud Lagardère	488		384		317		311	
Ayant droit de Bernard Tapie								
Bernard Arnault	1		1	1	1	3	1	3
Charles Lavoix								
Christian Latouche	61		54	1434	58		63	
Claude Perdriel	228		200		227		343	
Daniel Křetínský		306		208		504		818
Édouard Coudurier								
Famille Baudecroux			316		314		241	
Famille Baylet								
Famille Bettencourt	4		4	11	4	14	3	12
Famille Bouygues	33		36	1434	35	687	41	800
Famille Dassault	6		6	256	6	254	6	240
Famille Hurbain								
Famille Jeandot								
Famille Lemoine								
Famille Mohn								
Famille Montagnat								
Famille Saint-Cricq								
Franck Julien			240		161		139	
François Pinault	8		7	28	7	32	5	29
Georges Ghosn								
Iskandar Safa			83		90		97	
Jean Christophe Tortora								
Ken Fisher		218		144		381		457
Madison Cox								
Matthieu Pigasse								
Nicolas Beytout								
Patrick Drahi	17		13	636	11	375	10	345
Philippe Hersant								
Rodolphe Saadé	5		5	184				
Vincent Bolloré	14		12	202	13	316	14	329
Xavier Niel	9		11	365	12	230	13	301
Yves de Chaisemartin								